"filename", "language", "Markdown", "C++", "CMake", "YAML", "JSON", "Dart", "HTML", "XML", "Kotlin", "Kotlinscript", "Properties", "comment", "blank", "total"
"d:\code\DACN\DACN_Flutter\DACN\README.md", "Markdown", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 30
"d:\code\DACN\DACN_Flutter\DACN\analysis_options.yaml", "YAML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\code\DACN\DACN_Flutter\DACN\android\app\build.gradle.kts", "Kotlinscript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 6, 7, 45
"d:\code\DACN\DACN_Flutter\DACN\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\code\DACN\DACN_Flutter\DACN\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 11, 3, 56
"d:\code\DACN\DACN_Flutter\DACN\android\app\src\main\kotlin\com\example\music_login\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 7
"d:\code\DACN\DACN_Flutter\DACN\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\code\DACN\DACN_Flutter\DACN\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\code\DACN\DACN_Flutter\DACN\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\code\DACN\DACN_Flutter\DACN\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\code\DACN\DACN_Flutter\DACN\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\code\DACN\DACN_Flutter\DACN\android\build.gradle.kts", "Kotlinscript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"d:\code\DACN\DACN_Flutter\DACN\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\code\DACN\DACN_Flutter\DACN\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\code\DACN\DACN_Flutter\DACN\android\settings.gradle.kts", "Kotlinscript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\code\DACN\DACN_Flutter\DACN\devtools_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\code\DACN\DACN_Flutter\DACN\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 13, 189
"d:\code\DACN\DACN_Flutter\DACN\lib\models\AudioPlayerProvider.dart", "Dart", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 15, 35, 221
"d:\code\DACN\DACN_Flutter\DACN\lib\models\ThemeProvider.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
"d:\code\DACN\DACN_Flutter\DACN\lib\models\album.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 11, 3, 34
"d:\code\DACN\DACN_Flutter\DACN\lib\models\artist.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 44
"d:\code\DACN\DACN_Flutter\DACN\lib\models\audio_handler.dart", "Dart", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 2, 17, 119
"d:\code\DACN\DACN_Flutter\DACN\lib\models\favSongs.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"d:\code\DACN\DACN_Flutter\DACN\lib\models\history.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"d:\code\DACN\DACN_Flutter\DACN\lib\models\playlist.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 9, 79
"d:\code\DACN\DACN_Flutter\DACN\lib\models\songs.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 3, 39
"d:\code\DACN\DACN_Flutter\DACN\lib\navigation\bottom_nav.dart", "Dart", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 22, 16, 212
"d:\code\DACN\DACN_Flutter\DACN\lib\navigation\custom_page_route.dart", "Dart", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 7, 13, 93
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\album_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 596, 0, 0, 0, 0, 0, 7, 23, 626
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\artist_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 2, 10, 193
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\edit_account_info_screen.dart", "Dart", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 4, 16, 195
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\fav_screen.dart", "Dart", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 12, 86
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\forgot_password_screen.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 9, 71
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\history_screen.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 7, 71
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 90, 24, 356
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\library_screen.dart", "Dart", 0, 0, 0, 0, 0, 476, 0, 0, 0, 0, 0, 32, 31, 539
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 6, 10, 345
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\nhap.dart", "Dart", 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 0, 12, 24, 350
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\player_screen.dart", "Dart", 0, 0, 0, 0, 0, 492, 0, 0, 0, 0, 0, 8, 36, 536
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\playlist_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 477, 0, 0, 0, 0, 0, 2, 30, 509
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\playlist_screen.dart", "Dart", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 1, 11, 150
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\reset_password_screen.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 9, 74
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\search_screen.dart", "Dart", 0, 0, 0, 0, 0, 376, 0, 0, 0, 0, 0, 1, 22, 399
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\section_list_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 5, 90
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\setting_screen.dart", "Dart", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 7, 158
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\signup_screen.dart", "Dart", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 4, 11, 290
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\update_password_screen.dart", "Dart", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 5, 16, 230
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\user_screen.dart", "Dart", 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 37, 22, 279
"d:\code\DACN\DACN_Flutter\DACN\lib\screens\verify_otp_screen.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 9, 72
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_album.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_artist.dart", "Dart", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 2, 13, 108
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_favsongs.dart", "Dart", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 1, 14, 130
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_follow.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 1, 10, 97
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_history.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_lyrics.dart", "Dart", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 1, 10, 105
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_playlist.dart", "Dart", 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 26, 225
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_songs.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 32, 8, 69
"d:\code\DACN\DACN_Flutter\DACN\lib\services\api_user.dart", "Dart", 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 18, 35, 304
"d:\code\DACN\DACN_Flutter\DACN\lib\services\network_check.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\code\DACN\DACN_Flutter\DACN\lib\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 8, 132
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\AudioPlayerUI.dart", "Dart", 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 4, 9, 229
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\FavoriteSongList.dart", "Dart", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 6, 104
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\HistoryList.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 7, 87
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\NoInternetOverlay.dart", "Dart", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 5, 91
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\Song_thumbnail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\TrendingAlbums.dart", "Dart", 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 2, 11, 231
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\TrendingSong.dart", "Dart", 0, 0, 0, 0, 0, 553, 0, 0, 0, 0, 0, 32, 18, 603
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\autoScroollerText.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 4, 34
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\background_audio_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\favorites_preview_list.dart", "Dart", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 4, 93
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\hawaii_greeting_card.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 2, 5, 114
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\history_preview_list.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\library_empty_state.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\library_quick_action.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 56
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\library_section_header.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 3, 38
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\mini_player_widget.dart", "Dart", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 9, 100
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\playlist_preview_grid.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 66
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\playlist_preview_list.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 3, 63
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\shimmer_demo.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 2, 6, 87
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\shimmer_widgets.dart", "Dart", 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 0, 21, 12, 388
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\waveform_progress_bar.dart", "Dart", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 2, 24, 154
"d:\code\DACN\DACN_Flutter\DACN\pubspec.yaml", "YAML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 10, 57
"d:\code\DACN\DACN_Flutter\DACN\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"d:\code\DACN\DACN_Flutter\DACN\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\code\DACN\DACN_Flutter\DACN\windows\CMakeLists.txt", "CMake", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\code\DACN\DACN_Flutter\DACN\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\code\DACN\DACN_Flutter\DACN\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"d:\code\DACN\DACN_Flutter\DACN\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\code\DACN\DACN_Flutter\DACN\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\CMakeLists.txt", "CMake", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"d:\code\DACN\DACN_Flutter\README.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\code\DACN\DACN_Flutter\TODO.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"Total", "-", 67, 445, 242, 47, 35, 9461, 19, 74, 3, 75, 9, 658, 1015, 12150